Reg.code;Region;FO;y;x1;x2;x3;x4
1000;Российская федерация;;94,4;69254134,3;28305,6;1191,6;4764483
1001;Центральный федеральный округ;ЦФО;94,7;24135019;9531830;;1748045
31;Белгородская область;ЦФО;99,1;730562;298670;7104,2;37351
32;Брянская область;ЦФО;92,6;285847,9;219879;7682,5;22072
33;Владимирская область;ЦФО;90,2;392051,8;200149;8238,9;34662
36;Воронежская область;ЦФО;92,7;841375,7;487054;11588,4;60358
37;Ивановская область;ЦФО;97,3;179633,4;147373;6416,3;34209
40;Калужская область;ЦФО;96,1;373403,5;177419;6470,6;27930
44;Костромская область;ЦФО;99,3;160705,4;93648;4579,3;17256
46;Курская область;ЦФО;93,2;364601,7;189618;7316,1;23467
48;Липецкая область;ЦФО;96,5;470239,3;226044;6460,9;22458
50;Московская область;ЦФО;99,9;3565258;1901369;67348,7;240423
57;Орловская область;ЦФО;93,9;213924;118382;4339,4;16685
62;Рязанская область;ЦФО;95,1;336973,5;170446;6747,2;32556
67;Смоленская область;ЦФО;92,2;262318;152916;5850,8;28339
68;Тамбовская область;ЦФО;96,3;311433,4;189897;5903,9;18345
69;Тверская область;ЦФО;94,6;359345,1;214152;9806,7;35462
71;Тульская область;ЦФО;97;517740,8;256587;8948,2;36939
76;Ярославская область;ЦФО;94;469804,9;205815;9353,3;47136
77;г. Москва;ЦФО;92,5;14299800,6;4282410;233192,5;1012397
1002;Северо-Западный федеральный округ;СЗФО;96,1;7803750,5;2742437;;616017
10;Республика Карелия;СЗФО;93,6;233449,8;107326;7109,2;24356
11;Республика Коми;СЗФО;90,3;546895,3;145964;8824,9;21052
29;Ненецкий автономный округ;СЗФО;90,6;255496,6;8957;12945,9;1079
83;Архангельская область без автономного округа;СЗФО;92,4;427863,4;228557;11147,9;23212
35;Вологодская область;СЗФО;99,7;486211,3;161530;5045,3;47729
39;Калининградская область;СЗФО;94,1;383079,2;150308;10522,7;55261
47;Ленинградская область;СЗФО;102,5;913825,7;342645;9611,2;37057
51;Мурманская область;СЗФО;90,8;425831,2;154756;5246,8;18958
53;Новгородская область;СЗФО;91,2;244501,2;108537;5402,6;15762
60;Псковская область;СЗФО;94,4;144414,4;99532;46380,2;15796
78;г. Санкт-Петербург;СЗФО;97,2;3742182,4;1234324;947,2;355755
1003;Южный федеральный округ;ЮФО;96,7;4896268,6;2994484;;359312
1;Республика Адыгея;ЮФО;97,8;91352,4;80131;2399,6;7402
8;Республика Калмыкия;ЮФО;95,7;56045,1;18803;1399,3;4739
23;Республика Крым;ЮФО;103,6;315918,5;219861;25017,1;31880
30;Краснодарский край;ЮФО;98,6;2015934,7;1247914;6084,2;144864
34;Астраханская область;ЮФО;88,9;338679,5;167320;15600,3;18063
61;Волгоградская область;ЮФО;88,9;743283,7;345657;28357,6;51219
1004;Ростовская область;ЮФО;95,6;1270891,5;853290;10630,9;90596
5;г. Севастополь;ЮФО;131,6;64163,2;61506;2820,1;10549
6;Северо-Кавказский федеральный округ;СКФО;95,8;1797972,3;1538028;;131984
7;Республика Дагестан;СКФО;100,5;597096,7;659347;3867,3;35262
9;Республика Ингушетия;СКФО;98,4;50882,9;21908;2901,5;5240
15;Кабардино-Балкарская Республика;СКФО;97;132706,9;118275;2691,6;12740
20;Карачаево-Черкесская Республика;СКФО;90,7;73151,3;35702;11071,2;6895
26;Республика Северная Осетия – Алания;СКФО;94,3;125498,3;105349;16416,3;10476
1005;Чеченская Республика;СКФО;94;166711,2;152438;;10441
2;Ставропольский край;СКФО;91,4;651925;445009;;50930
12;Приволжский федеральный округ;ПФО;92,4;10375870,2;4977617;;801722
13;Республика Башкортостан;ПФО;95,7;1344360,1;803226;18870,2;87692
16;Республика Марий Эл;ПФО;94,2;160464;78498;3504,8;15837
18;Республика Мордовия;ПФО;94,1;198132,8;82084;5576,5;16326
21;Республика Татарстан;ПФО;96,5;1937637,1;801642;19646,2;130808
59;Удмуртская Республика;ПФО;93,6;540115;211091;7682,8;42290
43;Чувашская Республика;ПФО;92,4;261574,3;137166;7307,2;25907
52;Пермский край;ПФО;82,3;1091268,7;482930;17721,3;81445
56;Кировская область;ПФО;90,2;290990,3;177189;9586;36534
58;Нижегородская область;ПФО;93,4;1182265;652766;24752,9;105357
63;Оренбургская область;ПФО;91,6;772107,3;274944;13144,3;41355
64;Пензенская область;ПФО;94,2;338589;188372;9026,3;26526
73;Самарская область;ПФО;90,5;1275063,6;599368;28501,3;112011
1006;Саратовская область;ПФО;91,4;655053,7;319374;17266,3;49176
45;Ульяновская область;ПФО;92,7;328249,3;168965;9072,8;30458
66;Уральский федеральный округ;УФО;92,5;9354739,3;2475431;;389588
72;Курганская область;УФО;91,8;193895,1;104329;6818,2;16660
86;Свердловская область;УФО;93,9;1978055,7;1054177;32756,7;164234
89;Ханты-Мансийский автономный округ – Югра;УФО;92,3;3031163,3;366782;14732,4;40917
74;Ямало-Ненецкий автономный округ;УФО;94,2;1963870,5;122658;20001;11986
1007;Тюменская область без автономных округов;УФО;91,6;927039,5;333808;22930,6;45362
4;Челябинская область;УФО;89,4;1260715,2;493676;16132,9;110429
3;Сибирский федеральный округ;СФО;94,4;7133872,1;2797008;;519892
17;Республика Алтай;СФО;93,1;46128,4;22833;1676,2;6057
19;Республика Бурятия;СФО;93,3;199225,5;167900;7141,1;20062
22;Республика Тыва;СФО;87,9;52221,3;21491;2231,6;3673
75;Республика Хакасия;СФО;96,6;182434,1;74645;2930,7;10876
24;Алтайский край;СФО;95,2;498789,1;326859;14023,7;56374
38;Забайкальский край;СФО;92,4;262801,9;153747;8583,4;15959
42;Красноярский край;СФО;98;1767908,2;502076;31543,7;78998
54;Иркутская область;СФО;91,1;1068724,6;305112;16907,9;64669
55;Кемеровская область;СФО;90,9;858098,4;339147;18382,7;49819
70;Новосибирская область;СФО;99,5;1084635;449993;19323,3;128037
1008;Омская область;СФО;92,1;625918,1;291862;14185,9;49818
14;Томская область;СФО;91,7;486987,5;141344;7714,3;35550
41;Дальневосточный федеральный округ;ДФО;93,5;3756642,3;1248760;;197923
25;Республика Саха (Якутия);ДФО;95,9;868607;203555;15277,7;27002
27;Камчатский край;ДФО;92,4;198121;52038;6208,4;11008
28;Приморский край;ДФО;92,2;736886,2;353985;14887,4;70816
49;Хабаровский край;ДФО;94,8;637656,3;291098;14214,9;45405
65;Амурская область;ДФО;91,2;287594,3;153931;9752,8;16715
79;Магаданская область;ДФО;93,8;146919,5;29562;2111,4;5033
87;Сахалинская область;ДФО;94,4;767839;134732;6525,7;17515
;Еврейская автономная область;ДФО;89,2;46872,2;22159;1568,2;3338
;Чукотский автономный округ;ДФО;94,4;66146,8;7699;1468,2;1091
